product_title,review_headline,review_date,Sentiment
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Good read.,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"Goofy. (The adjective, not the Disney character.)","Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Great,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Great Sexy Read,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Great book,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Great great great!,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Great read,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),HUBBA HUBBA!!!!!!!!!!!!!!!,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Hidden scars,"Wednesday, May 2, 2012",Neutral
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Holy CRAP - This is a Trilogy?,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Holy Crap!,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Holy Hottness!!,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Holy cow!,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"Honestly,","Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Hooked on Grey,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Hot,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),I found myself laughing WAY too much!,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),I really enjoyed this book.,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),I so wanted to like this book,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),I wish this was a better book than it is,"Monday, April 30, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),I've had better,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),INTOXICATING!,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"If you liked 50 Shades, then may I recommend...","Monday, April 30, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"It just kind of grabs you, what can I say.","Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"It's so bad that I had to appreciate Stephanie Meyer's writing (seriously, it's that bad)","Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Kicking myself!!!,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),LOVED IT!!!!,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Laughingly terrible,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Liked the emotions....,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"Love it or Hate it, Some of us Love The Fifty Shades Trilogy...","Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),More than just fanfiction,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Most poorly written series of all time - where was the editor!?,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),New to Romance,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"Not usually my cup of tea, but addicting nevertheless!","Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Not your typical reader...,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),OMG - You have to make your own mind up on this one,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),OMG like totally a black leather teddy?,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Offensive & incredibly stupid,"Monday, April 30, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),One of the worst books I've ever read.....,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Parents be warned...deceptive and scary,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Please someone tell me what happens in the third book so I don't have to read it!,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Poor Beautiful Christian Grey,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Predictable,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Predictable plot line; mediocre writing,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Pure Smut,"Sunday, April 29, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Really? Maybe for beginners,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"Revolting, disgusting, disturbing","Sunday, April 29, 2012",Neutral
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Romance & emotions,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),SKIP IT!,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),SO good!!!!,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Seriously one of the best books I have ever read!!!,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"Should be titled, ""One Boring Shade of Grey""","Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Silly...,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"So naughty, but you can't put it down!","Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Statutory Rape,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),TRASH !!!!!  Don't waste your money!!!!!!!!,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),The Secretary?,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),The excerpt left me cold...not wanting more...,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),This book is absolutely terrible.,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),This book is boring!,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"This is just really, really, so very, very awful!","Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),This series is bad!,"Monday, April 30, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Unbearable writing,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Used my last 10 bucks instead of buying food and don't regret it!,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Vampire Novel with Kink,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Very Intriguing,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Why all the hype?,"Monday, April 30, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Why all the hype?,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),"Why? Just...why are people SO amazed by this ""book""?!","Monday, April 30, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Worth it,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Worthless!!!!,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Wow. Jeez. Holy Cow! This book is not worth the time or money.,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),a waste of my time!,"Sunday, April 29, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),could not put it down,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),get through the first book and you won't be disappointed!,"Tuesday, May 1, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),interesting,"Monday, April 30, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),money wasted,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),o-m-g. I just read a book with Christian Grey in it.,"Wednesday, May 2, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),seriously?,"Sunday, April 29, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),sexy book,"Wednesday, May 2, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),worst book ever,"Sunday, April 29, 2012",Negative
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),wow wee oh my fabulous!,"Tuesday, May 1, 2012",Positive
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),wow!!!,"Wednesday, May 2, 2012",Positive
Fighter Pilot: The Memoirs of Legendary Ace Robin Olds,FIGHTER PILOT NUT  MUST HAVE!,"Monday, April 30, 2012",Positive
Fighter Pilot: The Memoirs of Legendary Ace Robin Olds,Fighter Pilot,"Monday, April 30, 2012",Positive
"Fighting the Devil: A True Story of Consuming Passion, Deadly Poison, and Murder","Fighting the Devil (and she does), by Jeannie Walker","Sunday, April 29, 2012",Positive
"Fighting to Survive (As the World Dies, Book Two)",Chapter by Chapter's review of Fighting to Survive,"Monday, April 30, 2012",Positive
Figure Drawing: Design and Invention,A Must Have Book,"Monday, April 30, 2012",Positive
"Figures, Characters and Avatars: The Official Guide to Using DAZ Studio to Create Beautiful Art",Not A Guide to the New Daz 4 Studio,"Wednesday, May 2, 2012",Positive
Film Lighting: Talks with Hollywood's Cinematographers and Gaffers,Handy guide,"Wednesday, May 2, 2012",Positive
"Filmmaking Stuff: How to Make, Market and Sell Your Movie without the Middle-Man",Fantastic,"Monday, April 30, 2012",Positive
Final Analysis: The Making and Unmaking of a Psychoanalyst,A unique and fascinating book,"Monday, April 30, 2012",Positive
Final Cut Pro X: Visual QuickStart Guide,Disappointing,"Monday, April 30, 2012",Positive
Final Days,Deserves another 5 star review,"Tuesday, May 1, 2012",Negative
Final Fantasy XIII-2: The Complete Official Guide - Collector's Edition,Really good guide that lives up to the piggyback standard.,"Sunday, April 29, 2012",Positive
Final Fenway Fiction: More Short Stories from Red Sox Nation,Best of the Series,"Sunday, April 29, 2012",Positive
Final Price (A Paul Chang Mystery),Final Price,"Wednesday, May 2, 2012",Positive
Final Sail: A Dead-End Job Mystery,Entertaining read!,"Tuesday, May 1, 2012",Positive
Final Sail: A Dead-End Job Mystery,engaging investigations,"Tuesday, May 1, 2012",Positive
Final Thoughts: Eternal Beauty in Stone,Beautifully Unique,"Sunday, April 29, 2012",Positive
Finally Home,RIVETING,"Tuesday, May 1, 2012",Positive
Finally and   Forever (Katie Weldon Series),Fantastic Finish!,"Sunday, April 29, 2012",Positive
Finance and the Good Society,Good book but it could have been better,"Tuesday, May 1, 2012",Positive
Financial Accounting (8th Edition),A two-star book with some redeeming features,"Tuesday, May 1, 2012",Positive
"Find You, And You Find Everything: The Secrets To The Law of Attraction",Awesome Read !!,"Tuesday, May 1, 2012",Positive
Find the Upside of the Down Times: How To Turn Your Worst Experiences Into Your Best Opportunities,Use those stumbling blocks to build something,"Monday, April 30, 2012",Positive
Finding Destiny (Sons of Destiny),Finding Destiny,"Tuesday, May 1, 2012",Positive
Finding Everett Ruess: The Life and Unsolved Disappearance of a Legendary Wilderness Explorer,Disappointed....,"Wednesday, May 2, 2012",Negative
Finding Gloria,A MUST Read!,"Wednesday, May 2, 2012",Negative
Finding Kansas: Living and Decoding Asperger's Syndrome,Look Elsewhere for Insight into Asperger's,"Sunday, April 29, 2012",Positive
Finding Our Way Home: A Novel (A Snowglobe Connections Novel),Disappointing,"Tuesday, May 1, 2012",Positive
Finding Our Way Home: A Novel (A Snowglobe Connections Novel),Friendship can be found in unusual places but can be just what you need,"Monday, April 30, 2012",Positive
Finding Our Way Home: A Novel (A Snowglobe Connections Novel),The role of grace,"Sunday, April 29, 2012",Positive
Finding Perspective... Raising Successful Children Affected by Fetal Alcohol Spectrum Disorders,Too expensive...but good,"Tuesday, May 1, 2012",Positive
Finding Your Voice Through Creativity: The Art and Journaling Workbook for Disordered Eating,A Healing Treasure Trove,"Wednesday, May 2, 2012",Positive
Finding Zoe,Touching and familiar,"Monday, April 30, 2012",Positive
Fine Haitian Cuisine,It's okay!,"Sunday, April 29, 2012",Positive
Fine Structure of the Nervous System: Neurons and Their Supporting Cells,Very Indepth,"Wednesday, May 2, 2012",Positive
Finishing School: A Master Class for Knitters,wow,"Monday, April 30, 2012",Positive
Finnish Lessons: What Can the World Learn from Educational Change in Finland? (Series on School Reform) (The Series on School Reform),Schools Education - The Finnish way,"Tuesday, May 1, 2012",Positive
Fire (A Companion to Graceling),Excellent fantasy but more politics than adventure,"Wednesday, May 2, 2012",Positive
Fire Baptized,Definitley worth the price,"Tuesday, May 1, 2012",Positive
Fire Debris Analysis,"Can't be better, Excellent work","Monday, April 30, 2012",Positive
Fire Mobile (the pregnancy sonnets),"Wonderful read, well crafted","Monday, April 30, 2012",Positive
Fire of Revival: The Believer's Guide to Personal Transformation and Global Revival,Full coverage on Revival,"Tuesday, May 1, 2012",Positive
Fire of Revival: The Believer's Guide to Personal Transformation and Global Revival,Radical Revival,"Monday, April 30, 2012",Positive
Fire of the Covenant: The Story of the Willie and Martin Handcart Companies,A great story and book.,"Sunday, April 29, 2012",Positive
Firecracker,Fire rich suspense thriller,"Sunday, April 29, 2012",Positive
Firefighters to the Rescue! (Disney/Pixar Cars) (a Golden Go-Along Book),Hit with 3 year old,"Wednesday, May 2, 2012",Positive
Firefly Lane,love it!,"Monday, April 30, 2012",Positive
Firelight,Loved It:),"Wednesday, May 2, 2012",Positive
Fires of Our Choosing,Can't put the book down!,"Monday, April 30, 2012",Positive
"Firethorn (Discarded Heroes, Book 4)",Firethorn,"Monday, April 30, 2012",Positive
"Firethorn (Discarded Heroes, Book 4)",Firethorn,"Wednesday, May 2, 2012",Positive
First Aid for the USMLE Step 1 2012 (First Aid USMLE),Almost an error per page,"Sunday, April 29, 2012",Positive
First Aid for the USMLE Step 1 2012 (First Aid USMLE),How could this happen?,"Sunday, April 29, 2012",Negative
First Aid for the USMLE Step 1 2012 (First Aid USMLE),"Indecisive at first, but HAPPY I bought it","Wednesday, May 2, 2012",Positive
First Book Of The Gastar Series: Act Of Redemption,You Need To Know Shevata,"Sunday, April 29, 2012",Negative
First Day on the Somme,A bad day on the Western Front,"Sunday, April 29, 2012",Negative
First Grave on the Right (Charley Davidson),Beam Me Up Scotty,"Sunday, April 29, 2012",Positive
First Look and Find: Dinosaur Train,My son loves this book!,"Tuesday, May 1, 2012",Positive
First Principles of Meteorology and Air Pollution (Environmental Pollution),Did not deliver on its promises,"Wednesday, May 2, 2012",Positive
First Principles: Five Keys to Restoring America's Prosperity,Prescription for what ails America,"Monday, April 30, 2012",Positive
First They Killed My Father: A Daughter of Cambodia Remembers (P.S.),A Child's Memories of Horror,"Monday, April 30, 2012",Positive
First Writers-The Sumerians: They Wrote On Clay,Truly Aweful - Returning the book,"Monday, April 30, 2012",Positive
"First, Learn to Practice","Powerful, simple wisdom for musicians","Wednesday, May 2, 2012",Positive
"Firstborn Advantage, The: Making Your Birth Order Work for You",First Born Advantage,"Tuesday, May 1, 2012",Positive
Fish,A Rip-Roaring Good Yarn!,"Tuesday, May 1, 2012",Positive
Fish Happens: Words of Wisdom From the Penguins (The Penguins of Madagascar),Witty and Fun,"Wednesday, May 2, 2012",Positive
Fish of Ohio Field Guide (Fish Identification Guides),Excellent little field guide!,"Tuesday, May 1, 2012",Positive
"Fish, Where's That Fish? (Hide And Seek Science #3)","Fish, Where's That Fish? (Hide And Seek Science #3)","Tuesday, May 1, 2012",Positive
"Fishing Tandem Flies: Tactics, Techniques, and Rigs to Catch More Trout",Good reference!,"Sunday, April 29, 2012",Positive
"Fishing Yellowstone National Park: An Angler's Complete Guide To More Than 100 Streams, Rivers, And Lakes (Regional Fishing Series)",Very Useful Book,"Wednesday, May 2, 2012",Positive
Fishing on Facebook: A Writing Yoga Memoir,Should be required reading for all women (and certain men),"Sunday, April 29, 2012",Positive
Fit and Fabulous in 15 Minutes,VERY Unique and Effective Program I wouldn't have believed until I tried it,"Monday, April 30, 2012",Positive
Fit for a King,Fit for a king,"Tuesday, May 1, 2012",Positive
"Five Famous Fairy Tales, Level 2, Penguin Readers (2nd Edition) (Penguin Readers: Level 2)",7 Year Old Loved My Reading it to Him,"Monday, April 30, 2012",Positive
Five Fists Of Science,Don't you love it when you see the pilot for a new tv show...,"Monday, April 30, 2012",Positive
"Five-Minute Face-lift: A Daily Program for a Beautiful, Wrinkle-Free Face",Watch OUT for page 53 It will F* up your neck!,"Sunday, April 29, 2012",Negative
Fix Me Up: Essays on Television Dating and Makeover Shows,the real world is on featured television,"Monday, April 30, 2012",Positive
Fix Your Own Pain Without Drugs or Surgery,Invaluable help for conquering pain,"Sunday, April 29, 2012",Positive
Fix by Force,Fix,"Monday, April 30, 2012",Neutral
"Fix-It and Forget-It Vegetarian Cookbook: 565 Delicious Slow-Cooker, Stove-Top, Oven, and Salad Recipes, Plus 50 Suggested Menus",Not exactly a vegetarian or slow cooker cookbook,"Sunday, April 29, 2012",Positive
"Flagg's Small Houses: Their Economic Design and Construction, 1922",Great book,"Wednesday, May 2, 2012",Positive
Flamingos on the Roof,Catchy and Surreal Poems,"Monday, April 30, 2012",Positive
Flash Dragons: The Art of Spider Webb (Schiffer Art Books),good book,"Wednesday, May 2, 2012",Positive
Flash Fiction Fridays,A Flash of Pleasure,"Sunday, April 29, 2012",Positive
Flash and Bones: A Novel (A Temperance Brennan Novel),Flash and Bones,"Tuesday, May 1, 2012",Positive
Flashblind,Great read,"Monday, April 30, 2012",Positive
"Flashing Steel, Second Edition: Mastering Eishin-Ryu Swordsmanship",Fantastic!,"Wednesday, May 2, 2012",Positive
Fleisher and Ludwig's 5-Minute Pediatric Emergency Medicine Consult (The 5-Minute Consult Series),Very Good,"Wednesday, May 2, 2012",Positive
Flex Mentallo: Man of Muscle Mystery,"Great artwork, bizarre story","Monday, April 30, 2012",Positive
Flex Mentallo: Man of Muscle Mystery,Is This Real Life? Or Just a Fantasy? Caught in a Landslide...,"Sunday, April 29, 2012",Positive
Flex Mentallo: Man of Muscle Mystery,The Fact is...,"Tuesday, May 1, 2012",Positive
Flex Mentallo: Man of Muscle Mystery,Woah...,"Wednesday, May 2, 2012",Positive
"Flibberty Digits and Flummery Daubs: magical, madcap, math",Flibberty Digits and Flummery Daubs,"Wednesday, May 2, 2012",Positive
Flight Of A Super Airplane,Flight of a Super Review,"Sunday, April 29, 2012",Positive
Flight for Control,Read it over the weekend,"Monday, April 30, 2012",Positive
Flight of the Liberators: The Story of the Four Hundred and Fifty-Fourth Bombardment Group,Everything imaginable about the 454th,"Monday, April 30, 2012",Negative
Flip Flop Spanish Flash Cards: Rojo Set (Cards) (English and Spanish Edition),Great for the visual learner,"Wednesday, May 2, 2012",Positive
Flirting For Dummies,Funny Book For Desperate PPL XD,"Tuesday, May 1, 2012",Positive
Floating Down the Country,Enjoyable lite read,"Monday, April 30, 2012",Positive
Floating Down the Country,"Entertaining Ride, but not a guide for navigating the Mississippi...","Monday, April 30, 2012",Positive
Floating Down the Country,Exciting and adventurous,"Monday, April 30, 2012",Positive
Floating Down the Country,Great Story !,"Wednesday, May 2, 2012",Positive
Floating Gold: A Natural (and Unnatural) History of Ambergris,Risky Business!,"Tuesday, May 1, 2012",Positive
Floating Gold: A Natural (and Unnatural) History of Ambergris,Unexpected gold,"Sunday, April 29, 2012",Positive
"Flocks, Herds, Litters & Schools",A Round of Applause!,"Wednesday, May 2, 2012",Positive
"Flocks, Herds, Litters & Schools",Flock to read this book,"Monday, April 30, 2012",Positive
Flood Legends,Worldwide 'Review' Supports Bible Accounts,"Tuesday, May 1, 2012",Negative
"Flora's Fury: How a Girl of Spirit and a Red Dog Confound Their Friends, Astound Their Enemies, and Learn the Importance of Packing Light",The long awaited third about Flora Segunda,"Monday, April 30, 2012",Positive
Floral Bouquets Coloring Book (Dover Nature Coloring Book),you can't go wrong,"Wednesday, May 2, 2012",Positive
Florence the Fir Tree: (And the Angels of the Forest),"An inspiring and spiritual book, wonderfully written.","Sunday, April 29, 2012",Positive
"Flores para los Muertos, Photograhs of the Historic Key West Cemetery (English and Spanish Edition)",Beautiful photographs of Key West,"Wednesday, May 2, 2012",Positive
"Flores para los Muertos, Photograhs of the Historic Key West Cemetery (English and Spanish Edition)",beautiful photography,"Wednesday, May 2, 2012",Positive
Florida Firearms Seventh Edition,An important read if you own a gun,"Monday, April 30, 2012",Positive
Flour: Spectacular Recipes from Boston's Flour Bakery + Cafe,Delightful and Delicious,"Sunday, April 29, 2012",Positive
"Flower Applique ""Joy"" Bible / Book Cover - Psalm 16:11",Beautiful and well made,"Tuesday, May 1, 2012",Positive
Flower from Castile Trilogy: Book One: The Alhambra Decree,Spanish Inquisition and the Jews,"Wednesday, May 2, 2012",Positive
"Flower of God: A Jewish Family's 3,000-Year Journey from Spice to Medicine",You must read this story!!!  It changes your life,"Tuesday, May 1, 2012",Positive
Flowers of the Yukon,A Very Good Book,"Sunday, April 29, 2012",Positive
"Flowers, Flowers!: Inspired Arrangements for All Occasions",outdated old fashion,"Wednesday, May 2, 2012",Positive
"Fluency with Information Technology: Skills, Concepts, and Capabilities, 4th Edition",Absolutely useless textbook,"Tuesday, May 1, 2012",Negative
"Fluid Catalytic Cracking Handbook, Third Edition: An Expert Guide to the Practical Operation, Design, and Optimization of FCC Units",Fluid Catalytic Cracking Handbook - A Thorough And Practical Treatment of FCC For Refinery Operations,"Sunday, April 29, 2012",Positive
"Fluid Catalytic Cracking Handbook, Third Edition: An Expert Guide to the Practical Operation, Design, and Optimization of FCC Units",Newly revised 3rd edition improves upon previous publication ~,"Sunday, April 29, 2012",Positive
"Fluid Mechanics, Fifth Edition",just good,"Sunday, April 29, 2012",Positive
Fly Me to the Moon: A Novel,"Good Chick lit, but not a chick lit intro book","Monday, April 30, 2012",Positive
Fly Navy: Celebrating the First Century of Naval Aviation,RAFSteve,"Wednesday, May 2, 2012",Negative
"Fly, Vol. 1",WARNING! Will get you Addicted to this series!,"Wednesday, May 2, 2012",Positive
Flyfisher's Guide to Connecticut,Flyfisher's Guide to Connecticut,"Tuesday, May 1, 2012",Positive
Flying Camels and Tiger Mothers (Volume 1),"A Look Into Competitive Skating, From an Insider","Monday, April 30, 2012",Negative
Flying in the Face of Tradition: Listening to the Lived Experience of the Faithful,A (Rare) Common Sense Look at Catholicism Today,"Sunday, April 29, 2012",Positive
Flypast Special: Beaufighter Magazine (2012),Special 'One-Of' Tribute to the Mighty Beau!,"Monday, April 30, 2012",Positive
Focused,Focused,"Monday, April 30, 2012",Positive
Fodor's Amsterdam's 25 Best (Full-color Travel Guide),Handy pocket travel guide,"Monday, April 30, 2012",Negative
"Fodor's Berlin's 25 Best, 7th Edition (Full-color Travel Guide)",Handy pocket travel guide,"Monday, April 30, 2012",Negative
Fodor's Istanbul's 25 Best (Full-color Travel Guide),Handy pocket travel guide,"Monday, April 30, 2012",Negative
Folding Ideas for Cards & Envelopes (+ CD-ROM),So many Ideas!,"Sunday, April 29, 2012",Negative
"Folk Songs for Solo Singers, Vol 1: 11 Folk Songs Arranged for Solo Voice and Piano . . . For Recitals, Concerts, and Contests (Medium High Voice)","Folk Songs for Solo Singers, vol. 1 and 2","Tuesday, May 1, 2012",Positive
Folk and Foreign Costume Dolls: An Identification and Value Guide,Foreign Dolls - outdated information,"Wednesday, May 2, 2012",Positive
Folk-Religion: The Customs in Korea,The English is Bad,"Monday, April 30, 2012",Positive
"Follow Me, Mittens (My First I Can Read)",Replacement library book,"Wednesday, May 2, 2012",Positive
"Following Atticus - Forty-Eight Peaks, One Little Dog and an Extraordinary Friendship",Atticus: perfect for anyone,"Tuesday, May 1, 2012",Positive
"Following Atticus - Forty-Eight Peaks, One Little Dog and an Extraordinary Friendship",One of the best books of the decade,"Monday, April 30, 2012",Positive
"Following Daisies: A True Story about One Woman's Adventures Finding Happiness, Fulfilling Dreams and Becoming Herself",Couldn't Put it Down!,"Monday, April 30, 2012",Positive
Following Richard Brautigan,A Magical Novel,"Tuesday, May 1, 2012",Positive
